Time,Rack1,Rack2,Rack3,Rack4,Rack5,Rack6,Rack7,Rack8,Rack9,Rack10,Rack11,Rack12,Rack13,Rack14,Rack15,Rack16,Rack17,Rack18,Rack19,Rack20
13800,10.53429405,9.113673351,6.846984672,3.757127081,5.633001283,6.292113747,8.602695618,13.10208616,15.66530049,14.8245974,6.408060436,15.07362899,16.77580674,15.25059485,16.1509957,16.04049607,17.20492074,19.62812364,17.59859885,21.35859202
14100,10.57561272,9.258196638,7.137748843,4.03691314,5.828554864,6.638803437,8.600806024,13.10250769,15.66078599,14.81576272,6.595097733,15.02135722,16.77549821,15.24964489,16.1509957,16.04265728,17.20615195,19.62639264,17.58844972,21.30326894
14400,10.6169314,9.402719926,7.428513014,4.316699199,6.024108445,6.985493126,8.598916429,13.10292923,15.65627149,14.80692804,6.78213503,14.96908545,16.77518969,15.24869493,16.1509957,16.04481849,17.20738316,19.62466165,17.57830059,21.24794586
14700,10.65825007,9.547243214,7.719277186,4.596485259,6.219662027,7.332182815,8.597026834,13.10335076,15.651757,14.79809336,6.969172327,14.91681369,16.77488116,15.24774498,16.1509957,16.0469797,17.20861437,19.62293065,17.56815145,21.19262277
15000,10.69956874,9.691766502,8.010041357,4.876271318,6.415215608,7.678872505,8.595137239,13.10377229,15.6472425,14.78925867,7.156209624,14.86454192,16.77457263,15.24679502,16.1509957,16.0491409,17.20984558,19.62119966,17.55800232,21.13729969
15300,10.74088742,9.836289789,8.300805528,5.156057377,6.610769189,8.025562194,8.593247644,13.10419383,15.64272801,14.78042399,7.343246921,14.81227015,16.77426411,15.24584507,16.1509957,16.05130211,17.21107679,19.61946867,17.54785318,21.08197661
15600,10.78220609,9.980813077,8.591569699,5.435843436,6.80632277,8.372251883,8.591358049,13.10461536,15.63821351,14.77158931,7.530284218,14.75999838,16.77395558,15.24489511,16.1509957,16.05346332,17.212308,19.61773767,17.53770405,21.02665353
15900,10.82352476,10.12533636,8.88233387,5.715629496,7.001876351,8.718941573,8.589468454,13.10503689,15.63369901,14.76275463,7.717321515,14.70772662,16.77364705,15.24394515,16.1509957,16.05562453,17.21353921,19.61600668,17.52755491,20.97133045
16200,10.86484343,10.26985965,9.173098042,5.995415555,7.197429932,9.065631262,8.587578859,13.10545842,15.62918452,14.75391994,7.904358812,14.65545485,16.77333853,15.2429952,16.1509957,16.05778574,17.21477042,19.61427568,17.51740578,20.91600736
16500,10.90616211,10.41438294,9.463862213,6.275201614,7.392983513,9.412320951,8.585689265,13.10587996,15.62467002,14.74508526,8.091396109,14.60318308,16.77303,15.24204524,16.1509957,16.05994695,17.21600163,19.61254469,17.50725665,20.86068428
16800,10.94748078,10.55890623,9.754626384,6.554987673,7.588537095,9.759010641,8.58379967,13.10630149,15.62015553,14.73625058,8.278433406,14.55091131,16.77272148,15.24109529,16.1509957,16.06210816,17.21723284,19.61081369,17.49710751,20.8053612
17100,10.98879945,10.70342952,10.04539056,6.834773732,7.784090676,10.10570033,8.581910075,13.10672302,15.61564103,14.7274159,8.465470703,14.49863955,16.77241295,15.24014533,16.1509957,16.06426937,17.21846405,19.6090827,17.48695838,20.75003812
17400,11.03011813,10.8479528,10.33615473,7.114559792,7.979644257,10.45239002,8.58002048,13.10714456,15.61112654,14.71858121,8.652508,14.44636778,16.77210442,15.23919537,16.1509957,16.06643058,17.21969526,19.6073517,17.47680924,20.69471504
17700,11.0714368,10.99247609,10.6269189,7.394345851,8.175197838,10.79907971,8.578130885,13.10756609,15.60661204,14.70974653,8.839545297,14.39409601,16.7717959,15.23824542,16.1509957,16.06859179,17.22092647,19.60562071,17.46666011,20.63939195
18000,11.11275547,11.13699938,10.91768307,7.67413191,8.370751419,11.1457694,8.57624129,13.10798762,15.60209754,14.70091185,9.026582594,14.34182424,16.77148737,15.23729546,16.1509957,16.070753,17.22215767,19.60388971,17.45651097,20.58406887
18300,11.15407415,11.28152267,11.20844724,7.953917969,8.566305,11.49245909,8.574351695,13.10840915,15.59758305,14.69207716,9.213619891,14.28955248,16.77117884,15.23634551,16.1509957,16.07291421,17.22338888,19.60215872,17.44636184,20.52874579
18600,11.19539282,11.42604595,11.49921141,8.233704029,8.761858581,11.83914878,8.5724621,13.10883069,15.59306855,14.68324248,9.400657188,14.23728071,16.77087032,15.23539555,16.1509957,16.07507542,17.22462009,19.60042773,17.43621271,20.47342271
18900,11.23671149,11.57056924,11.78997558,8.513490088,8.957412163,12.18583847,8.570572506,13.10925222,15.58855406,14.6744078,9.587694485,14.18500894,16.77056179,15.23444559,16.1509957,16.07723663,17.2258513,19.59869673,17.42606357,20.41809962
19200,11.27803016,11.71509253,12.08073975,8.793276147,9.152965744,12.53252816,8.568682911,13.10967375,15.58403956,14.66557312,9.774731782,14.13273717,16.77025327,15.23349564,16.1509957,16.07939784,17.22708251,19.59696574,17.41591444,20.36277654
19500,11.31934884,11.85961582,12.37150392,9.073062206,9.348519325,12.87921784,8.566793316,13.11009529,15.57952506,14.65673843,9.961769079,14.08046541,16.76994474,15.23254568,16.1509957,16.08155905,17.22831372,19.59523474,17.4057653,20.30745346
19800,11.36066751,12.00413911,12.6622681,9.352848266,9.544072906,13.22590753,8.564903721,13.11051682,15.57501057,14.64790375,10.14880638,14.02819364,16.76963621,15.23159572,16.1509957,16.08372026,17.22954493,19.59350375,17.39561617,20.25213038
20100,11.40198618,12.14866239,12.95303227,9.632634325,9.739626487,13.57259722,8.563014126,13.11093835,15.57049607,14.63906907,10.33584367,13.97592187,16.76932769,15.23064577,16.1509957,16.08588146,17.23077614,19.59177275,17.38546703,20.1968073
20400,11.44330486,12.29318568,13.24379644,9.912420384,9.935180068,13.91928691,8.561124531,13.11135989,15.56598158,14.63023439,10.52288097,13.9236501,16.76901916,15.22969581,16.1509957,16.08804267,17.23200735,19.59004176,17.3753179,20.14148421
20700,11.48462353,12.43770897,13.53456061,10.19220644,10.13073365,14.2659766,8.559234936,13.11178142,15.56146708,14.6213997,10.70991827,13.87137833,16.76871063,15.22874586,16.1509957,16.09020388,17.23323856,19.58831076,17.36516877,20.08616113
21000,11.5259422,12.58223226,13.82532478,10.4719925,10.32628723,14.61266629,8.557345341,13.11220295,15.55695259,14.61256502,10.89695556,13.81910657,16.76840211,15.2277959,16.1509957,16.09236509,17.23446977,19.58657977,17.35501963,20.03083805
21300,11.56726087,12.72675554,14.11608895,10.75177856,10.52184081,14.95935598,8.555455746,13.11262448,15.55243809,14.60373034,11.08399286,13.7668348,16.76809358,15.22684594,16.1509957,16.0945263,17.23570098,19.58484877,17.3448705,19.97551497
21600,11.60857955,12.87127883,14.40685312,11.03156462,10.71739439,15.30604567,8.553566152,13.11304602,15.54792359,14.59489566,11.27103016,13.71456303,16.76778506,15.22589599,16.1509957,16.09668751,17.23693219,19.58311778,17.33472136,19.92019189
21900,11.64989822,13.01580212,14.69761729,11.31135068,10.91294797,15.65273536,8.551676557,13.11346755,15.5434091,14.58606097,11.45806745,13.66229126,16.76747653,15.22494603,16.1509957,16.09884872,17.2381634,19.58138678,17.32457223,19.8648688
22200,11.69121689,13.16032541,14.98838147,11.59113674,11.10850156,15.99942505,8.549786962,13.11388908,15.5388946,14.57722629,11.64510475,13.6100195,16.767168,15.22399608,16.1509957,16.10100993,17.23939461,19.57965579,17.31442309,19.80954572
22500,11.73253557,13.3048487,15.27914564,11.8709228,11.30405514,16.34611474,8.547897367,13.11431062,15.53438011,14.56839161,11.83214205,13.55774773,16.76685948,15.22304612,16.1509957,16.10317114,17.24062582,19.5779248,17.30427396,19.75422264
22800,11.77385424,13.44937198,15.56990981,12.15070886,11.49960872,16.69280443,8.546007772,13.11473215,15.52986561,14.55955693,12.01917935,13.50547596,16.76655095,15.22209616,16.1509957,16.10533235,17.24185703,19.5761938,17.29412483,19.69889956
23100,11.81517291,13.59389527,15.86067398,12.43049492,11.6951623,17.03949412,8.544118177,13.11515368,15.52535112,14.55072224,12.20621664,13.45320419,16.76624242,15.22114621,16.1509957,16.10749356,17.24308824,19.57446281,17.28397569,19.64357647
